FID,NAME,HH,pop,hhsize,sexratio,p0_14,p15_64,p65u,curborn,forborn,firstgen,secgen,thirdgen,leave,stay,meanHHinc,GFR,unemploy,partrate,airpolut,badcond,nvrmarr,married,divorced,consuni,area,popdens,CreationDate,Creator,EditDate,Editor,x,y
28,BIJGELEGEN,101,232,2.3,73,0.19,0.664,0.147,0.784,0.216,0.216,0.224,0.56,0.04,0.724,6133,0,6.6,64.4,5.9,0,37.4,34.6,6.6,11.5,0.144,1611.1111804659,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
29,BIVAK,169,427,2.5,79,0.166,0.707,0.126,0.646,0.354,0.354,0.2,0.446,0.024,0.688,4369,9,12.8,63.5,61.2,13.9,42.5,31.3,5.7,14.9,0.318,1342.76734291387,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
30,ROOI CATOCHI,113,319,2.8,81,0.176,0.677,0.147,0.473,0.527,0.527,0.292,0.181,0.071,0.48,13487,0,2.7,69.6,5.3,0,21.6,58.4,10.2,4.3,0.361,883.656506193682,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
31,BLAUW (Curasol),351,1006,2.9,88,0.214,0.733,0.054,0.697,0.303,0.303,0.196,0.5,0.098,0.539,9221,46,3.4,66.1,54,1.7,34.3,49.4,1.4,9.3,2.329,431.945041497527,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
32,GROOT KWARTIER,510,1530,2.6,79,0.16,0.676,0.163,0.726,0.274,0.275,0.217,0.507,0.029,0.6,4630,27,11.2,60.6,10,7.3,46.4,32.7,6.1,7.5,1.002,1526.9461470236,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
33,BLEEFAMIA,24,63,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,34.7,46.9,4.1,2,0.036,1750.00007533365,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
34,ROOI SANTU,478,1221,2.6,90,0.199,0.7,0.101,0.811,0.189,0.189,0.164,0.647,0.022,0.637,4585,33,11.6,64.2,6.7,7.4,42.2,34.9,4.3,11.1,1.991,613.259651177223,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
35,BLOEMFONTEIN,52,125,2.4,95,0.168,0.688,0.144,0.61,0.39,0.39,0.268,0.341,0.008,0.733,5345,0,0,0,11.5,5.8,26.7,49.5,5.9,5,0.124,1008.06453260404,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
36,ROOSENDAAL,184,474,2.6,80,0.213,0.656,0.131,0.752,0.248,0.248,0.222,0.53,0.031,0.743,3444,66,12.7,63.3,75.6,7.7,41.9,30.6,6.2,11.5,0.346,1369.94225222706,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
37,BLOMONTE,28,70,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,3.7,39.3,32.8,9.8,11.5,0.045,1555.55549374333,"februari 11, 2016",menno_ter_bals,"februari 11, 2016",menno_ter_bals,,
